text@via1992m	@via1992m	0.99	5.4	как тебе пришла идея делать эээ канал / про книги?
text@via1992m	@via1992m	7.07	8.23	Женя...
text@via1992m	@via1992m	8.71	16.98	это... закрытие твоих школьных пробелов? ты таким образом себя мотивируешь читать? что... / вспомни день когда ты такой ооо
text@via1992m	@via1992m	18.11	21.28	ну это пр... понятно что у тебя всегда есть подруга рядом которая круто читает и...
text@via1992m	@via1992m	23.735	24.225	много знает
text@via1992m	@via1992m	45.89	52.43	ну вот год назад ты как раз говорил... / что ты очень безынициативный человек // изменилось что-то с того времени вот сейчас?
text@via1992m	@via1992m	58.555	60.565	да но как-то канал ведь ты сделал и что-то пошло
text@via1992m	@via1992m	109.19	110.0	а что это была за книга?
text@via1992m	@via1992m	123.0	124.13	фантастика или...
text@via1992m	@via1992m	131.555	133.165	с фило... с философией явно //
text@via1992m	@via1992m	167.547	168.697	#смеется#
text@via1992m	@via1992m	180.405	180.915	прекрасно //
text@via1992m	@via1992m	181.16	183.9	я как раз пытался это щас сформулировать / не получилось так быстро
text@via1992m	@via1992m	238.03	238.54	#смеется#
text@via1992m	@via1992m	299.09	302.64	ну то есть вы сняли пилот эээ с той мыслью которая была изначально?
text@via1992m	@via1992m	302.675	305.055	ааа вы даже и не снимали пилот
text@via1992m	@via1992m	305.14	312.35	думаю это работает потому что ты... / в общем-то на волне зрителя / потому что ты не боишься своих незнаний //
text@via1992m	@via1992m	312.96	313.63	и это круто //
text@via1992m	@via1992m	314.04	316.82	поэтому иии сработало / она знает...
text@via1992m	@via1992m	318.02	329.11	и она не ментор - нравоучитель / который тебе так вот именно так я это.../ запомни / что в этой книге имелось в виду именно это то есть она не... не закладывает э
text@via1992m	@via1992m	330.11	335.11	какое-то конкретное правильное / она говорит то как чувствует она и это тоже очень круто //
text@ek1993m	@ek1993m	5.51	7.04	#смеется#
text@ek1993m	@ek1993m	16.99	17.99	ой да я помню
text@ek1993m	@ek1993m	21.225	22.965	она не была рядом в тот момент
text@ek1993m	@ek1993m	23.48	24.22	эээ...
text@ek1993m	@ek1993m	24.525	25.565	я просто х.../ ну //
text@ek1993m	@ek1993m	28.24	32.97	мне хотелось попробовать сделать собственный проект потому что я / эээм...
text@ek1993m	@ek1993m	34.18	37.29	у меня есть такая проблемка / мне очень тяжело вообще начинать дело какое-то
text@ek1993m	@ek1993m	38.07	45.81	ну то есть я вот / мне... э... у меня всегда / происходило так что / меня типо в движ какой-то звали и я в него вписывался
text@ek1993m	@ek1993m	50.185	50.675	мгм...
text@ek1993m	@ek1993m	53.28	58.48	ха ну обстоятельства так сложились что теперь да мне / быть безынициативным не получится
text@ek1993m	@ek1993m	60.92	61.83	да / да
text@ek1993m	@ek1993m	62.66	63.73	как-то поверил я //
text@ek1993m	@ek1993m	64.76	66.095	и поверила Даша //
text@ek1993m	@ek1993m	66.46	68.31	эээ как-то вместе мы в это поверили
text@ek1993m	@ek1993m	68.71	72.15	потому что я помню да / я шел от метро домой / и... //
